epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.77303,1.74091,4.28018,1.13881,0.00096,0.20424,0.04905,0.02023,1.04111,4.32892,0.8729,0.0002,0.0002,0.0002
2,10.8754,1.44269,3.75248,1.04239,0.01108,0.72259,0.12611,0.03139,1.21084,4.57072,1.01773,0.000403235,0.000403235,0.000403235
3,16.394,1.44404,3.40031,1.05148,0.00986,1,0.30687,0.11449,1.41268,4.03023,1.02818,0.00059954,0.00059954,0.00059954
4,22.1378,1.41793,3.07692,1.06046,0.77967,0.24444,0.31479,0.15998,1.49415,3.56256,1.04669,0.000788915,0.000788915,0.000788915
5,27.7158,1.47517,2.66721,1.0449,0.29882,0.26429,0.22862,0.10072,1.50122,3.02397,1.10763,0.000934,0.000934,0.000934
6,33.461,1.46026,2.61369,1.10164,0.62593,0.38995,0.36361,0.2027,1.31048,2.6183,1.08212,0.0009175,0.0009175,0.0009175
7,38.8586,1.43906,2.48602,1.07908,0.44868,0.50986,0.45632,0.21057,1.55932,2.53769,1.22708,0.000901,0.000901,0.000901
8,44.2658,1.3521,2.22042,1.0606,0.53034,0.77541,0.71391,0.26719,2.10804,1.93118,1.59839,0.0008845,0.0008845,0.0008845
9,49.4516,1.31621,2.29304,1.12102,0.72991,0.49972,0.4721,0.1908,1.87492,2.48092,1.40376,0.000868,0.000868,0.000868
10,54.5349,1.42937,2.23348,1.11228,0.58503,0.79062,0.71856,0.4046,1.52418,1.71442,1.20877,0.0008515,0.0008515,0.0008515
11,59.1058,1.37526,2.13826,1.14268,0.58805,0.86388,0.74896,0.37697,1.71739,1.58332,1.35289,0.000835,0.000835,0.000835
12,63.7116,1.30633,1.8761,1.10042,0.5686,0.90974,0.76377,0.34242,1.90469,1.67503,1.49421,0.0008185,0.0008185,0.0008185
13,68.2816,1.28299,1.83658,1.09638,0.55556,0.90169,0.74526,0.34288,1.86506,1.70635,1.47076,0.000802,0.000802,0.000802
14,72.7164,1.2591,1.73505,1.09032,0.63021,0.84575,0.76071,0.43642,1.5503,1.42826,1.25138,0.0007855,0.0007855,0.0007855
15,77.3168,1.30232,1.68507,1.05021,0.58393,0.94911,0.80237,0.47116,1.46311,1.33523,1.19154,0.000769,0.000769,0.000769
16,81.6864,1.27579,1.97419,1.05664,0.64947,0.88486,0.82598,0.43856,1.60246,1.3789,1.24348,0.0007525,0.0007525,0.0007525
17,86.3162,1.33462,1.72136,1.12373,0.73831,0.81255,0.80823,0.40709,1.68088,1.43095,1.27256,0.000736,0.000736,0.000736
18,90.8805,1.28539,1.6754,1.07951,0.6483,0.93635,0.84188,0.42715,1.72203,1.3035,1.27053,0.0007195,0.0007195,0.0007195
19,95.8176,1.29533,1.78011,1.106,0.66489,0.96961,0.86018,0.40266,1.79444,1.31627,1.3027,0.000703,0.000703,0.000703
20,100.602,1.28387,1.61987,1.10132,0.69375,0.93844,0.88378,0.36372,1.97534,1.36653,1.41412,0.0006865,0.0006865,0.0006865
21,105.313,1.39687,1.60131,1.07282,0.77721,0.9592,0.93165,0.48382,1.6713,1.10436,1.28467,0.00067,0.00067,0.00067
22,109.772,1.24751,1.56581,1.08517,0.76412,0.9549,0.95278,0.5565,1.48975,1.07961,1.19591,0.0006535,0.0006535,0.0006535
23,114.456,1.30448,1.68322,1.09631,0.83308,0.93231,0.96945,0.57506,1.43412,1.03875,1.17003,0.000637,0.000637,0.000637
24,119.367,1.30988,1.48174,1.05696,0.80753,0.9656,0.96946,0.49134,1.64252,1.06421,1.28489,0.0006205,0.0006205,0.0006205
25,124.06,1.29878,1.54195,1.06051,0.78498,1,0.96531,0.47261,1.72575,1.15352,1.32649,0.000604,0.000604,0.000604
26,128.771,1.28049,1.53084,1.09535,0.84798,0.9182,0.96664,0.4694,1.71772,1.15921,1.32521,0.0005875,0.0005875,0.0005875
27,133.801,1.27756,1.4429,1.05078,0.93683,0.90119,0.97081,0.51869,1.62254,1.0852,1.2743,0.000571,0.000571,0.000571
28,138.439,1.22202,1.26895,1.07611,0.94714,0.91926,0.97448,0.50929,1.64713,1.08331,1.29263,0.0005545,0.0005545,0.0005545
29,143,1.18208,1.36107,1.08069,0.88676,0.95555,0.9737,0.52675,1.56883,1.02078,1.25955,0.000538,0.000538,0.000538
30,147.751,1.17629,1.33945,1.08236,0.87569,0.91588,0.96275,0.50445,1.63108,1.0131,1.28695,0.0005215,0.0005215,0.0005215
31,152.509,1.31517,1.31233,1.0948,0.90936,0.90048,0.95447,0.48479,1.65832,1.05475,1.29299,0.000505,0.000505,0.000505
32,157.728,1.29025,1.31181,1.02623,0.92501,0.89548,0.95993,0.50316,1.62076,1.05991,1.2709,0.0004885,0.0004885,0.0004885
33,163.164,1.28704,1.2825,1.0215,0.93123,0.85963,0.96809,0.52856,1.57001,1.01739,1.23979,0.000472,0.000472,0.000472
34,167.581,1.25986,1.27897,1.05524,0.97701,0.86844,0.976,0.51782,1.56225,1.01429,1.23699,0.0004555,0.0004555,0.0004555
35,172.311,1.21918,1.21372,1.03411,0.92389,0.90799,0.98125,0.50611,1.61384,1.00869,1.26152,0.000439,0.000439,0.000439
