epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.71853,1.74091,4.28018,1.13881,0.00096,0.20424,0.04905,0.02023,1.04111,4.32892,0.8729,0.0002,0.0002,0.0002
2,11.1201,1.4437,3.74965,1.04213,0.01045,0.72974,0.12487,0.03126,1.20751,4.5745,1.0223,0.000408647,0.000408647,0.000408647
3,16.5666,1.44883,3.39366,1.05509,0.0094,1,0.28249,0.10118,1.39392,4.09224,1.04379,0.000615908,0.000615908,0.000615908
4,21.826,1.41264,3.06822,1.05919,0.60208,0.2179,0.26875,0.1099,1.46721,3.64734,1.05693,0.000821783,0.000821783,0.000821783
5,27.9049,1.4306,2.62911,1.03052,0.48836,0.43726,0.43905,0.18014,1.429,2.87836,1.07943,0.0009868,0.0009868,0.0009868
6,33.073,1.43906,2.56797,1.06758,0.49853,0.57054,0.42381,0.20029,1.39371,2.54728,1.10898,0.0009835,0.0009835,0.0009835
7,38.5744,1.41926,2.41939,1.06709,0.42304,0.65091,0.36967,0.15639,1.68522,2.35393,1.28442,0.0009802,0.0009802,0.0009802
8,43.7679,1.35084,2.14553,1.05047,0.4028,0.74328,0.57723,0.20951,1.99532,1.87851,1.53198,0.0009769,0.0009769,0.0009769
9,48.359,1.30195,2.35042,1.12277,0.64291,0.33056,0.31118,0.13024,1.91913,2.64002,1.47671,0.0009736,0.0009736,0.0009736
10,53.1916,1.45023,2.18597,1.12885,0.53564,0.59603,0.55344,0.30512,1.45295,1.7882,1.20879,0.0009703,0.0009703,0.0009703
11,58.1147,1.38469,2.15806,1.14945,0.5801,0.70193,0.6246,0.28779,1.7884,1.95337,1.43838,0.000967,0.000967,0.000967
12,63.507,1.31108,1.8757,1.11086,0.58708,0.8701,0.6665,0.28273,1.88987,1.82886,1.48917,0.0009637,0.0009637,0.0009637
13,68.4518,1.29859,1.82368,1.10117,0.66988,0.88197,0.75135,0.35084,1.71601,1.58774,1.38353,0.0009604,0.0009604,0.0009604
14,73.3841,1.27552,1.73295,1.08456,0.65082,0.88486,0.76519,0.41836,1.53784,1.41386,1.25863,0.0009571,0.0009571,0.0009571
15,89.8382,1.30599,1.65056,1.05851,0.64898,0.92106,0.78065,0.44796,1.46868,1.36128,1.20699,0.0009538,0.0009538,0.0009538
16,115.059,1.26077,1.90117,1.04084,0.65924,0.91783,0.84406,0.45636,1.61227,1.30364,1.27144,0.0009505,0.0009505,0.0009505
17,140.716,1.32644,1.67982,1.1188,0.74291,0.84422,0.85598,0.43658,1.65806,1.29628,1.27896,0.0009472,0.0009472,0.0009472
18,165.473,1.29856,1.64096,1.06822,0.73561,0.959,0.89494,0.45584,1.65267,1.24839,1.26349,0.0009439,0.0009439,0.0009439
19,191.354,1.29205,1.74929,1.08365,0.68198,0.94673,0.90048,0.45609,1.65926,1.2738,1.2707,0.0009406,0.0009406,0.0009406
20,211.491,1.29304,1.59402,1.0898,0.85011,0.84756,0.90787,0.40932,1.87877,1.2248,1.40726,0.0009373,0.0009373,0.0009373
21,222.217,1.39871,1.53959,1.08194,0.80229,0.91468,0.91259,0.49832,1.49209,1.08514,1.20644,0.000934,0.000934,0.000934
22,226.767,1.30757,1.5594,1.10852,0.83685,0.88447,0.92435,0.54037,1.4296,1.068,1.17295,0.0009307,0.0009307,0.0009307
23,231.917,1.3351,1.66157,1.10806,0.80129,0.89169,0.9305,0.52108,1.46958,1.16077,1.1984,0.0009274,0.0009274,0.0009274
24,237.393,1.29576,1.44068,1.05033,0.7592,0.98484,0.93773,0.40893,1.85593,1.10854,1.42473,0.0009241,0.0009241,0.0009241
25,242.782,1.26097,1.4546,1.06124,0.76569,0.94253,0.94843,0.42154,1.86513,1.06916,1.41172,0.0009208,0.0009208,0.0009208
26,250.663,1.3325,1.48932,1.13329,0.89104,0.86497,0.96516,0.42628,1.87438,1.12608,1.40884,0.0009175,0.0009175,0.0009175
27,255.549,1.31063,1.36636,1.0787,0.95157,0.85061,0.97194,0.42564,1.94715,1.14109,1.45881,0.0009142,0.0009142,0.0009142
28,260.19,1.23378,1.20963,1.08733,0.94945,0.8949,0.98117,0.44966,1.86005,1.01331,1.4298,0.0009109,0.0009109,0.0009109
29,264.759,1.23419,1.32112,1.13603,0.87384,0.96547,0.98108,0.54086,1.56464,0.92941,1.26752,0.0009076,0.0009076,0.0009076
30,269.362,1.29622,1.3665,1.14977,0.89456,0.92314,0.96542,0.50853,1.67187,0.99227,1.30962,0.0009043,0.0009043,0.0009043
31,274.04,1.33033,1.28478,1.11408,0.90265,0.8846,0.94494,0.44473,1.84542,1.13857,1.39436,0.000901,0.000901,0.000901
32,278.892,1.2828,1.22816,1.04204,0.94374,0.86754,0.95809,0.40295,1.93561,1.25671,1.43734,0.0008977,0.0008977,0.0008977
33,283.637,1.31025,1.25044,1.03734,0.89232,0.90258,0.97131,0.41583,1.97769,1.12462,1.47146,0.0008944,0.0008944,0.0008944
34,288.192,1.23903,1.25275,1.05325,0.90555,0.96603,0.98675,0.41862,2.01145,1.016,1.52136,0.0008911,0.0008911,0.0008911
